RESUMER ZONES HYDROTEL VERSION;4.1.2.0000

UHRH ID; TYPE; ALTITUDE MOYENNE (m); PENTE MOYENNE; ORIENTATION MOYENNE; NB PIXEL; SUPERFICIE (km2); LONGITUDE; LATITUDE
1;SOUS-BASSIN;49.458332;0.051138;1;24;0.240000;-71.26793;46.76578
2;SOUS-BASSIN;48.391304;0.069339;5;23;0.230000;-71.26433;46.76805
3;LAC;7.319074;0.004314;5;278312;2783.119873;-70.59446;47.23604
4;SOUS-BASSIN;49.215305;0.025349;8;11370;113.699997;-70.96656;46.91616
5;SOUS-BASSIN;16.770674;0.007290;8;5115;51.150002;-70.25633;47.46335
6;SOUS-BASSIN;1.028207;0.002533;1;15067;150.669998;-69.81624;47.87973
7;SOUS-BASSIN;1.100118;0.002637;8;7601;76.010002;-70.57544;47.21637
8;SOUS-BASSIN;2.624250;0.011341;4;833;8.330000;-69.73526;47.69645
9;SOUS-BASSIN;16.776451;0.014450;5;1172;11.720000;-69.88043;47.53318
10;SOUS-BASSIN;63.769402;0.061889;5;3595;35.950001;-69.77398;47.60628
11;SOUS-BASSIN;20.011295;0.018287;5;1505;15.050000;-70.00920;47.46741
12;SOUS-BASSIN;18.448065;0.033148;4;491;4.910000;-69.95054;47.50760
13;SOUS-BASSIN;1.276596;0.003447;4;47;0.470000;-69.84846;47.58085
14;SOUS-BASSIN;10.993103;0.003519;5;435;4.350000;-70.03096;47.40838
15;SOUS-BASSIN;39.171909;0.029635;4;1431;14.310000;-70.05054;47.35618
16;SOUS-BASSIN;92.064659;0.048286;4;1794;17.940001;-70.09335;47.30566
17;SOUS-BASSIN;17.943396;0.015285;3;212;2.120000;-70.16227;47.30836
18;SOUS-BASSIN;1.250000;0.003752;4;4;0.040000;-69.85860;47.57635
19;SOUS-BASSIN;40.604343;0.020189;4;3546;35.459999;-70.22849;47.23896
20;SOUS-BASSIN;20.136364;0.015851;5;22;0.220000;-70.29726;47.17993
21;SOUS-BASSIN;19.270000;0.022979;4;100;1.000000;-70.30753;47.16954
22;SOUS-BASSIN;42.096439;0.018985;4;871;8.710000;-70.30220;47.14423
23;SOUS-BASSIN;19.698530;0.014653;4;408;4.080000;-70.35890;47.12916
24;SOUS-BASSIN;16.285715;0.014881;5;14;0.140000;-70.38228;47.11449
25;SOUS-BASSIN;26.696262;0.011154;4;214;2.140000;-70.38158;47.10167
26;SOUS-BASSIN;23.049202;0.013521;4;752;7.520000;-70.41015;47.08479
27;SOUS-BASSIN;29.492281;0.030741;4;583;5.830000;-70.82474;46.88890
28;SOUS-BASSIN;19.348061;0.013873;4;928;9.280000;-70.50086;47.00500
29;SOUS-BASSIN;20.986841;0.012626;5;152;1.520000;-70.44858;47.04879
30;SOUS-BASSIN;36.808369;0.027105;3;741;7.410000;-70.89024;46.87411
31;SOUS-BASSIN;14.622222;0.008373;5;45;0.450000;-70.46432;47.04139
32;SOUS-BASSIN;47.439999;0.029340;4;325;3.250000;-70.93332;46.85510
33;SOUS-BASSIN;24.357550;0.022544;4;702;7.020000;-70.74445;46.91482
34;SOUS-BASSIN;40.681820;0.047691;4;66;0.660000;-70.95906;46.84739
35;SOUS-BASSIN;69.585930;0.033077;3;739;7.390000;-70.98603;46.82562
36;SOUS-BASSIN;1.000000;0.007068;5;1;0.010000;-70.85966;46.89003
37;SOUS-BASSIN;1.333333;0.004857;3;3;0.030000;-70.87069;46.89224
38;SOUS-BASSIN;2.000000;0.015812;1;1;0.010000;-70.78804;46.90737
39;SOUS-BASSIN;5.636364;0.013908;3;11;0.110000;-70.78352;46.90416
40;SOUS-BASSIN;49.518799;0.057689;3;133;1.330000;-71.02657;46.82903
41;SOUS-BASSIN;68.835335;0.045580;3;2496;24.959999;-71.12481;46.81603
42;SOUS-BASSIN;35.234570;0.052568;5;81;0.810000;-71.20324;46.77349
43;SOUS-BASSIN;2.000000;0.002500;1;1;0.010000;-71.05099;46.84716
44;SOUS-BASSIN;29.981482;0.049590;4;54;0.540000;-71.22010;46.76376
45;SOUS-BASSIN;35.996998;0.035963;3;333;3.330000;-71.24522;46.74940
46;SOUS-BASSIN;12.125404;0.002893;8;7727;77.269997;-72.61314;46.32671
47;SOUS-BASSIN;27.925863;0.005225;4;17670;176.699997;-72.72555;46.10959
48;SOUS-BASSIN;9.720779;0.004947;3;154;1.540000;-72.90126;46.11602
49;SOUS-BASSIN;11.000000;0.002500;3;2;0.020000;-72.92365;46.11644
50;SOUS-BASSIN;23.551485;0.006102;5;2156;21.559999;-72.63340;46.19925
51;SOUS-BASSIN;11.000000;0.005003;1;1;0.010000;-72.66858;46.19287
52;SOUS-BASSIN;16.397436;0.004327;4;156;1.560000;-72.63832;46.24886
53;SOUS-BASSIN;16.430555;0.004710;4;72;0.720000;-72.62365;46.25956
54;SOUS-BASSIN;16.683762;0.004633;4;117;1.170000;-72.60755;46.26956
55;SOUS-BASSIN;20.243902;0.008594;4;1189;11.890000;-72.49737;46.33356
56;SOUS-BASSIN;16.370630;0.004913;4;143;1.430000;-72.54428;46.30070
57;SOUS-BASSIN;15.715596;0.003888;4;218;2.180000;-72.57808;46.28165
58;SOUS-BASSIN;14.117647;0.003006;3;51;0.510000;-72.43711;46.37315
59;SOUS-BASSIN;20.481268;0.004672;4;1041;10.410000;-72.38683;46.36571
60;SOUS-BASSIN;14.000000;0.002652;3;63;0.630000;-72.37668;46.39583
61;SOUS-BASSIN;14.666667;0.004702;3;63;0.630000;-72.35524;46.39268
62;SOUS-BASSIN;35.910397;0.013684;4;3549;35.490002;-72.17064;46.50258
