station_id,troncon_id,drainage_area,region_id
000091,,0,
000116,,0,
030355,MONT00119,155,MONT
010101,GASP01982,534,GASP
010801,GASP01641,2130,GASP
010802,GASP01646,1906,GASP
010901,GASP01528,1410,GASP
010902,GASP01534,1340,GASP
010903,GASP01534,1340,GASP
011001,GASP00726,1480,GASP
011002,GASP00714,2400,GASP
011003,GASP00723,1690,GASP
011201,GASP01440,1140,GASP
011202,,1160,
011203,,867,
011204,GASP01440,1139,GASP
011502,,558,
011507,GASP00941,2760,GASP
011508,GASP00990,555,GASP
011509,GASP00941,2753,GASP
011702,,2690,
011704,,108,
011706,,172,
030356,MONT00071,197,MONT
013001,,598,
013103,,389,
013105,,388,
020301,GASP02049,1090,GASP
020302,,1090,
020401,GASP02165,1010,GASP
020404,GASP02179,647,GASP
020502,GASP00038,59.8,GASP
020503,,64.33,
020601,GASP02292,748,GASP
020602,GASP02294,626,GASP
020701,GASP02406,128,GASP
020802,GASP02420,1200,GASP
021403,GASP02724,208,GASP
021405,GASP02667,786,GASP
021407,GASP02669,772,GASP
021502,GASP02747,721,GASP
021601,GASP02850,1655,GASP
021602,GASP02848,1680,GASP
021605,,1685,
021606,,34.4,
021607,,147,
021608,,21.8,
021609,,1685,
021701,,208,
021702,GASP03025,223,GASP
021908,,1080,
021909,,573,
021914,,1040,
021915,GASP03127,494,GASP
021916,GASP03139,98.6,GASP
022001,,1610,
022003,GASP03334,1615,GASP
022301,GASP03654,930,GASP
022501,,265,
022502,,1050,
022503,,948,
022504,GASP03812,500,GASP
060603,SAGU00152,120.68,SAGU
022506,,565,
022507,GASP03811,515,GASP
022508,,470,
022509,,581,
022510,,569,
022511,,566,
022513,GASP03802,1042,GASP
022514,,901,
022601,SLSO02878,213,SLSO
022701,SLSO02791,802,SLSO
022702,SLSO02792,790,SLSO
022703,SLSO02794,783,SLSO
022704,SLSO02792,796,SLSO
022901,,15,
023002,SLSO02552,61,SLSO
023004,SLSO02542,191,SLSO
023005,SLSO02550,30.6,SLSO
023006,SLSO02553,21.4,SLSO
023007,SLSO02544,19.9,SLSO
023101,SLSO02598,826,SLSO
023103,,1280,
023104,,642,
023106,SLSO02599,821,SLSO
023108,,494.5,
023301,SLSO02389,1130,SLSO
023303,SLSO02388,1152,SLSO
023305,,1.9,
023306,SLSO02456,181,SLSO
023401,SLSO00585,708,SLSO
023402,SLSO00025,5820,SLSO
023403,SLSO00306,1170,SLSO
023404,,5390,
023405,,4190,
023406,,5720,
023407,,5570,
023408,,5180,
023409,,781,
023412,,27.1,
023413,,3090,
023417,,5670,
023418,,4210,
023421,SLSO00105,663,SLSO
023422,SLSO00160,696,SLSO
023424,,1180,
023425,SLSO00205,108,SLSO
023426,SLSO00141,4090,SLSO
023428,SLSO00460,806,SLSO
023429,SLSO00246,3085,SLSO
023430,,3070,
023432,SLSO00633,154,SLSO
023433,SLSO00498,380,SLSO
023434,,48.1,
023435,,149,
023436,SLSO00222,152,SLSO
023437,SLSO00395,141,SLSO
023438,SLSO00055,40.1,SLSO
023440,SLSO00280,114,SLSO
023442,,25,
023443,SLSO00635,47.4,SLSO
023444,SLSO00064,23.68,SLSO
023445,SLSO00635,46.3,SLSO
023446,,3074,
023452,,75.7,
030431,MONT00590,118.25,MONT
040241,OUTV00133,1944.6,OUTV
023450,SLSO00621,95.42,SLSO
023451,,91.51,
023501,SLSO00666,66.7,SLSO
023701,SLSO00710,356,SLSO
023702,SLSO00708,385,SLSO
023901,,181,
023902,SLSO00740,304,SLSO
024001,SLSO00813,1410,SLSO
024003,SLSO00829,914,SLSO
024004,SLSO00887,100.87,SLSO
024007,SLSO00786,2330,SLSO
024010,SLSO00880,25.7,SLSO
024012,SLSO00820,216,SLSO
024013,SLSO00850,227,SLSO
024014,SLSO00796,2163,SLSO
024015,SLSO00889,48.1,SLSO
024016,SLSO00828,74.2,SLSO
02E901,SLSO01214,69.2,SLSO
030101,SLSO01106,562,SLSO
030102,,513,
030103,SLSO00958,1550,SLSO
