node,apport_ht,apport_me,q_ht,q_me
0,0.00297103,0.0014481166,1531.43,758.7531
1,28.8338,2.9433956,1531.26,757.1988
2,0.448136,0.08550032,1325.62,731.54846
3,0.954772,0.15592287,1321.82,727.8146
4,2.05538,0.36357468,1318.28,724.1558
5,0.516824,0.104042746,1314.28,719.6492
6,2.5478,0.27937666,2.5478,0.4857007
7,0.545941,0.0694434,1310.08,715.71124
8,0.032171,0.010369499,1297.5,710.9551
9,0.131638,0.031213667,0.131638,0.038506016
10,0.0252745,0.009503019,1297.0,708.1567
11,1.19001,0.18315843,1296.14,705.19604
12,0.0155271,0.004281608,1251.1,698.1167
13,0.119865,0.026575936,1250.39,694.06525
14,0.0330474,0.00616867,1140.68,662.57635
15,2.95019,0.38542086,1138.1,658.55676
16,0.922403,0.08784025,0.922403,0.087171376
17,3.89884,0.39570332,1131.88,653.74414
18,0.575709,0.052870218,0.575709,0.052648574
19,14.6727,1.3103145,1125.92,649.39124
20,0.516203,0.114111304,1107.86,644.14233
21,0.400129,0.06642265,5.43064,0.9620664
22,2.39513,0.41725242,2.92589,0.53075564
23,0.235198,0.044950817,0.235198,0.045675635
24,0.295542,0.063408166,0.295542,0.06475959
25,2.10461,0.36525825,2.10461,0.36683154
26,0.249874,0.09787028,1101.65,638.8254
27,0.139047,0.11512923,149.336,37.902466
28,0.483125,0.103030995,0.483125,0.10391377
29,0.640779,0.15337497,148.674,37.92588
30,1.01708,0.22699605,146.818,37.752453
31,0.102711,0.026789488,144.685,37.455215
32,0.0196362,0.005662167,144.337,37.57199
33,0.763291,0.15671591,143.449,37.5831
34,1.25506,0.30862513,142.394,37.511837
35,0.0836181,0.016001599,0.0836181,0.01616686
36,0.304033,0.069248594,141.03,37.342415
37,0.122174,0.028872296,138.72,37.17512
38,0.143382,0.029135747,23.6006,4.5224314
39,1.4927,0.35203585,22.8945,4.3558908
40,0.731711,0.11469426,2.56177,0.41858202
41,0.920313,0.16850287,0.920313,0.17129096
42,0.909743,0.1260208,0.909504,0.12785985
43,1.68236,0.23751688,18.8478,3.5752668
44,1.57925,0.22056358,16.2144,3.2168562
45,0.0595971,0.007276065,14.511,2.9724462
46,3.67024,0.54633945,3.67047,0.55638707
47,3.99933,0.4286499,10.7843,2.4053144
48,0.174766,0.0276633,4.22939,1.5907516
49,0.0216055,0.0039452505,3.43917,1.4525751
50,0.886863,0.17899823,3.41973,1.4619915
51,0.00549746,0.00076402345,0.884443,0.13431051
52,0.371713,0.058552675,0.87895,0.13307527
53,0.510668,0.066836454,0.510669,0.06799845
54,0.737475,0.084061734,2.62849,1.168437
