climate_id,d_voisine_km,n,r_stations,biais_stations,r_casr,biais_casr
6072223,0.0,971,1.0,1.0,0.928,1.275
6072230,0.0,1440,0.862,0.666,0.937,1.152
6074211,51.62002036134333,1268,0.785,0.908,0.921,1.003
6080192,58.98185919688603,1219,0.85,0.995,0.96,0.964
6085680,45.52803405069818,1437,0.679,1.095,0.891,1.399
6100285,20.077198973051992,1432,0.877,1.019,0.683,1.04
6100970,7.364468473280198,1434,0.769,1.037,0.892,1.129
6100971,7.364468473280198,1428,0.772,0.919,0.718,1.071
6101335,11.699732306780575,951,0.829,0.888,0.797,1.075
6101874,33.173461726850725,1399,0.866,0.981,0.79,1.136
6102J13,20.077198973051992,1461,0.862,0.949,0.733,1.056
6104027,35.10654049611995,1182,0.823,0.992,0.916,1.044
6104725,28.785096563858186,1260,0.797,0.939,0.643,1.007
6105762,40.6927656755159,1422,0.89,0.877,0.756,0.979
6105976,0.0,1441,1.0,0.998,0.674,1.08
6105978,0.0,1420,0.73,0.981,0.951,1.06
6106001,8.304398964492083,1457,0.84,0.969,0.945,1.084
6106367,2.554913217954822,1425,0.691,1.148,0.963,1.127
6106396,8.963213639993173,1374,0.821,1.028,0.952,1.188
6107276,38.49202627683309,1436,0.852,0.805,0.803,0.983
610FC98,2.554913217954822,1454,0.663,0.828,0.662,1.002
6110607,19.822921190432165,1426,0.806,0.823,0.79,0.952
6111769,8.267203642132664,1310,0.888,0.916,0.551,0.92
6115529,19.822921190432165,1216,0.813,1.154,0.784,1.134
6115811,8.267203642132664,1313,0.854,0.888,0.582,0.926
6117981,32.14178634567708,1382,0.628,0.845,0.553,0.884
6163171,50.07560488620919,1459,0.762,0.805,0.758,0.939
616I001,50.07560488620919,1436,0.833,1.01,0.958,1.019
7010565,7.767099581891862,1375,0.815,0.789,0.935,1.112
7011947,9.112032202391141,1194,0.886,0.796,0.741,1.142
7011983,9.006255627620911,1221,0.674,0.809,0.95,1.158
7013100,19.49006780968076,1069,0.848,0.862,0.668,1.113
7014160,7.033469619790705,1286,0.721,0.788,0.963,1.137
7014290,9.112032202391141,1202,0.92,0.793,0.722,1.122
7015730,13.24264487168182,1108,0.85,0.735,0.734,1.019
7015791,27.18291742558437,1442,0.836,0.97,0.898,1.061
7016470,16.780329888332602,1324,0.908,0.946,0.721,1.073
7016675,19.499553844635567,1109,0.813,0.704,0.671,1.08
7016800,9.006255627620911,1244,0.773,0.932,0.705,1.217
7016816,25.395747495066097,1190,0.82,0.851,0.667,1.07
7016840,16.266164423594745,1245,0.911,0.737,0.776,1.093
7016902,25.31286207658979,1038,0.878,0.889,0.704,1.114
7016960,25.31286207658979,1305,0.863,0.753,0.766,1.108
7017000,14.53549163258679,1139,0.844,0.717,0.739,1.034
7017585,16.266164423594745,1359,0.858,0.767,0.739,1.094
7018562,12.871892503751411,1150,0.908,0.979,0.939,1.284
7018563,12.871892503751411,1422,0.865,0.826,0.911,1.205
7018573,14.395453503355297,1385,0.911,0.961,0.934,1.273
701LEEH,26.889640919979,1167,0.83,0.731,0.661,1.035
701Q004,7.650853873003254,1160,0.891,1.025,0.883,1.22
701Q009,30.328069701286076,1364,0.737,0.855,0.912,0.997
701S001,7.650853873003254,1435,0.876,0.792,0.954,1.146
7020305,22.26049543274364,1369,0.844,0.744,0.645,1.044
7020567,15.595707831490085,1295,0.815,0.778,0.729,0.967
7020828,18.68112962048884,1019,0.842,0.747,0.813,0.853
7020860,15.924355424442052,939,0.739,0.988,0.713,1.042
7021840,23.60334395932512,1312,0.862,0.83,0.748,0.941
7021954,22.26049543274364,1182,0.887,0.849,0.614,1.002
7022160,7.611581876944749,929,0.777,0.828,0.779,0.927
