region,n_st,transfert_gasp,local,choix_val,champion,retenu,retenu_selection
gasp,16,0.677,0.749,,local,0.749,0.749
sagu,22,0.645,0.705,,local,0.705,0.705
slso,39,0.532,0.631,,local,0.631,0.631
slno,31,0.66,0.645,,local,0.645,0.645
mont,28,0.571,0.624,,local,0.624,0.624
outv,16,0.539,0.572,,local,0.572,0.572
abit,3,0.697,0.478,0.6207,sagu,0.697,0.6207
outm,4,0.498,,0.4981,gasp,0.498,0.4981
labi,1,0.61,,0.6199,gasp,0.61,0.6199
cnda,1,0.453,,0.4528,gasp,0.453,0.4528
cndb,2,0.739,,0.7501,sagu,0.739,0.7501
cndc,2,0.716,,0.612,sagu,0.716,0.612
cndd,2,0.75,,0.7086,sagu,0.75,0.7086
cnde,2,0.73,,0.6958,mont,0.73,0.6958
