region,station,ecart,aire,n_hydro,bin
gasp,20602,0.044902282843281904,646.3500366210938,0,0
gasp,11003,-0.0004695656823023864,1706.8399658203125,0,0
gasp,21702,-0.0544233347487425,212.04000854492188,0,0
gasp,11707,-0.4114108973706954,2725.33984375,1,1-2
gasp,21407,-0.06289450744156888,783.7300415039062,0,0
gasp,22003,0.00871540697932438,1636.2900390625,1,1-2
gasp,22301,-0.06354128673211834,925.2399291992188,0,0
gasp,10802,-0.03703076576714004,1916.6199951171875,0,0
gasp,21601,0.0022120142646260277,1660.02001953125,0,0
gasp,22513,-0.03487305956264497,1061.3900146484375,1,1-2
gasp,22507,0.033061444179025345,543.050048828125,0,0
gasp,11204,-0.1478861031771599,1155.1500244140625,0,0
gasp,11509,-0.12150014634189066,2758.01025390625,0,0
gasp,10902,-0.06739998924977797,1379.880126953125,0,0
gasp,20404,-0.13294398853902611,675.4299926757812,0,0
gasp,21916,-0.3142717574613426,105.94999694824219,0,0
mont,30421,-0.12488659235546307,364.9600524902344,0,0
mont,30423,-0.07350681398537762,111.0199966430664,0,0
mont,30345,-0.0972809886520013,3308.7998046875,2,1-2
mont,30356,0.13641284908403617,195.13998413085938,0,0
mont,30424,-0.18897176667586446,613.219970703125,0,0
mont,30348,0.02172118341065965,103.77999877929688,0,0
mont,30415,0.015924623627095125,340.5499572753906,0,0
mont,30425,-0.06158519735228707,82.44000244140625,0,0
mont,30431,-0.09928306862308989,125.13999938964844,0,0
mont,30315,0.055343313511135306,738.0800170898438,1,1-2
mont,30920,-0.14630364373246135,38.06999969482422,0,0
mont,30314,-0.16242996352139222,210.5500030517578,0,0
mont,30355,0.05327821635473007,159.9600067138672,0,0
mont,30905,-0.11501357596305894,2512.849853515625,0,0
mont,30340,0.08435692857103083,243.6999969482422,0,0
mont,30353,-0.031634266665400035,232.54000854492188,0,0
mont,30907,-0.047198138440401216,629.6900024414062,0,0
mont,30921,-0.0912195042651377,247.5700225830078,0,0
mont,30304,-0.020170869122126067,1477.829833984375,2,1-2
mont,30343,0.004558487845059078,29.700000762939453,0,0
mont,30316,0.05328176115461192,327.20001220703125,0,0
mont,30429,0.11791564965668933,34.7400016784668,0,0
mont,30919,0.006594868662954667,1051.5301513671875,0,0
outv,40406,-0.19689356656764712,1347.9400634765625,0,0
outv,40204,-0.20858709538306797,5452.08984375,2,1-2
outv,46709,-0.020088699127116194,204.5399932861328,0,0
outv,40840,-0.3158112976965427,1262.969970703125,0,0
outv,40238,-0.20431470891031178,1178.7000732421875,0,0
outv,40110,-0.23624978959062848,1175.7999267578125,0,0
outv,40122,-0.30331832857325114,312.3399963378906,0,0
outv,40134,-0.520336345737969,87.80000305175781,0,0
outv,40129,-0.3722329388471833,105.48999786376953,0,0
outv,40841,-0.24152378918206518,1684.530029296875,0,0
outv,46404,0.06290075584693988,387.3499755859375,0,0
outv,40409,-0.3077127449686296,81.8499984741211,0,0
outv,40830,-0.3914517427996653,6807.27001953125,0,0
outv,40212,-0.322412128634999,39.98999786376953,0,0
outv,40624,-0.18866785666547747,4606.5302734375,2,1-2
outv,40241,-0.30070156419326677,1952.1502685546875,0,0
sagu,61024,-0.026938830440411232,333.78997802734375,0,0
sagu,61901,-0.12301246387693032,15481.919921875,0,0
sagu,60704,-0.1292475474310525,440.9100341796875,0,0
sagu,60102,-0.17952625518244425,431.5900573730469,0,0
sagu,60601,-0.05197345313644908,626.02001953125,0,0
sagu,60901,-0.03824089237325623,393.91998291015625,0,0
sagu,62002,-0.9312735611387998,56.570003509521484,0,0
sagu,60603,-0.15472184929542726,125.75999450683594,0,0
sagu,62102,-0.2360309693870909,9615.720703125,0,0
sagu,61801,-0.09023209857710268,974.3400268554688,1,1-2
sagu,61307,0.03401975212605013,279.6300048828125,0,0
sagu,61909,-0.11393238935948136,586.25,0,0
sagu,62114,-0.17458288108556008,8844.580078125,0,0
sagu,62701,-0.06162732040487995,773.409912109375,0,0
sagu,61502,-0.08521606696711037,2230.639892578125,0,0
sagu,61028,-0.06708482741190447,2650.249755859375,0,0
sagu,61020,-0.13431398890723512,1156.179931640625,0,0
sagu,62803,-0.08279182450959344,1109.9498291015625,0,0
sagu,61022,-0.11780785659495996,520.7899780273438,0,0
sagu,64101,0.01628658601857369,193.54998779296875,0,0
slno,52238,-0.30126560488853904,119.63999938964844,0,0
slno,50117,-0.3014298167513598,1839.2998046875,0,0
slno,50409,-0.23928633197694438,643.8900146484375,0,0
slno,52805,-0.347756239637074,758.3199462890625,0,0
slno,50135,-0.2886333977704636,1538.4898681640625,0,0
