region,station,ecart,n_noeuds,f_lac,bin
gasp,20602,0.044902282843281904,73,0.0,<2 %
gasp,11003,-0.0004695656823023864,90,0.011111111111111112,<2 %
gasp,21702,-0.0544233347487425,33,0.0,<2 %
gasp,11707,-0.4114108973706954,173,0.057803468208092484,5-10 %
gasp,21407,-0.06289450744156888,78,0.01282051282051282,<2 %
gasp,22003,0.00871540697932438,241,0.04979253112033195,2-5 %
gasp,22301,-0.06354128673211834,81,0.012345679012345678,<2 %
gasp,10802,-0.03703076576714004,163,0.0,<2 %
gasp,21601,0.0022120142646260277,166,0.012048192771084338,<2 %
gasp,22513,-0.03487305956264497,92,0.010869565217391304,<2 %
gasp,22507,0.033061444179025345,53,0.0,<2 %
gasp,11204,-0.1478861031771599,77,0.0,<2 %
gasp,11509,-0.12150014634189066,186,0.026881720430107527,2-5 %
gasp,10902,-0.06739998924977797,87,0.0,<2 %
gasp,20404,-0.13294398853902611,90,0.011111111111111112,<2 %
gasp,21916,-0.3142717574613426,21,0.0,<2 %
mont,30421,-0.12488659235546307,23,0.0,<2 %
mont,30423,-0.07350681398537762,3,0.0,<2 %
mont,30345,-0.0972809886520013,427,0.01405152224824356,<2 %
mont,30356,0.13641284908403617,16,0.0,<2 %
mont,30424,-0.18897176667586446,50,0.02,<2 %
mont,30348,0.02172118341065965,13,0.0,<2 %
mont,30415,0.015924623627095125,12,0.0,<2 %
mont,30425,-0.06158519735228707,19,0.0,<2 %
mont,30431,-0.09928306862308989,9,0.0,<2 %
mont,30315,0.055343313511135306,100,0.0,<2 %
mont,30920,-0.14630364373246135,5,0.0,<2 %
mont,30314,-0.16242996352139222,44,0.022727272727272728,2-5 %
mont,30355,0.05327821635473007,27,0.0,<2 %
mont,30905,-0.11501357596305894,214,0.009345794392523364,<2 %
mont,30340,0.08435692857103083,42,0.07142857142857142,5-10 %
mont,30353,-0.031634266665400035,56,0.017857142857142856,<2 %
mont,30907,-0.047198138440401216,75,0.0,<2 %
mont,30921,-0.0912195042651377,38,0.0,<2 %
mont,30304,-0.020170869122126067,167,0.005988023952095809,<2 %
mont,30343,0.004558487845059078,6,0.16666666666666666,10-20 %
mont,30316,0.05328176115461192,8,0.0,<2 %
mont,30429,0.11791564965668933,1,0.0,<2 %
mont,30919,0.006594868662954667,69,0.028985507246376812,2-5 %
outv,40406,-0.19689356656764712,93,0.20430107526881722,>20 %
outv,40204,-0.20858709538306797,343,0.14868804664723032,10-20 %
outv,46709,-0.020088699127116194,5,0.0,<2 %
outv,40840,-0.3158112976965427,83,0.18072289156626506,10-20 %
outv,40238,-0.20431470891031178,94,0.1595744680851064,10-20 %
outv,40110,-0.23624978959062848,91,0.08791208791208792,5-10 %
outv,40122,-0.30331832857325114,32,0.15625,10-20 %
outv,40134,-0.520336345737969,1,0.0,<2 %
