region,spatial_held,period,model,r2,rmse,bias_pct,n
abit,False,test_2022_2024,gru,0.89759535,0.3100823760032654,8.585396,205500
abit,False,test_2022_2024,mlp,0.89495057,0.31406107544898987,8.330812,205500
abit,False,test_2022_2024,mcg,0.7637237,0.47100701928138733,1.8275328,205500
abit,False,test_2022_2024,lin,0.6574743,0.5671055316925049,8.238893,205500
cnda,False,test_2022_2024,gru,0.9283179,0.25637972354888916,3.510371,133164
cnda,False,test_2022_2024,mlp,0.9253915,0.26156070828437805,3.9142668,133164
cnda,False,test_2022_2024,mcg,0.7830277,0.4460468888282776,-10.741853,133164
cnda,False,test_2022_2024,lin,0.68799925,0.5348798036575317,-1.7851303,133164
cndb,False,test_2022_2024,gru,0.9387648,0.22941213846206665,3.6632164,138233
cndb,False,test_2022_2024,mlp,0.9324381,0.24097208678722382,3.9832704,138233
cndb,False,test_2022_2024,mcg,0.772197,0.4424818754196167,-14.264882,138233
cndb,False,test_2022_2024,lin,0.6822257,0.5226069688796997,-5.6887283,138233
cndc,False,test_2022_2024,gru,0.93212104,0.2363036870956421,4.138343,113984
cndc,False,test_2022_2024,mlp,0.9303204,0.2394174039363861,2.7809641,113984
cndc,False,test_2022_2024,mcg,0.7852111,0.42034780979156494,-13.771626,113984
cndc,False,test_2022_2024,lin,0.7062727,0.4915582537651062,-5.5403657,113984
cndd,False,test_2022_2024,gru,0.9263345,0.2453508824110031,6.924419,172346
cndd,False,test_2022_2024,mlp,0.9300298,0.23911798000335693,4.2696304,172346
cndd,False,test_2022_2024,mcg,0.80453295,0.3996615707874298,-7.956311,172346
cndd,False,test_2022_2024,lin,0.721686,0.47689539194107056,-5.4888134,172346
cnde,False,test_2022_2024,gru,0.93293464,0.23899579048156738,6.306253,119053
cnde,False,test_2022_2024,mlp,0.93870497,0.2284829020500183,2.6742294,119053
cnde,False,test_2022_2024,mcg,0.8293894,0.3811923861503601,-10.37175,119053
cnde,False,test_2022_2024,lin,0.728509,0.48086026310920715,-10.896841,119053
gasp,True,test_2022_2024,gru,0.91480625,0.34929051995277405,-3.193486,205500
gasp,True,test_2022_2024,mlp,0.9216227,0.33502572774887085,-3.3387814,205500
gasp,True,test_2022_2024,mcg,0.8443319,0.4721530079841614,-15.051564,205500
gasp,True,test_2022_2024,lin,0.7800963,0.5611761212348938,-11.2766285,205500
gasp,True,val_2019_2021,gru,0.9143145,0.35513436794281006,-6.8896694,207000
gasp,True,val_2019_2021,mlp,0.9209675,0.34106871485710144,-7.2646003,207000
gasp,True,val_2019_2021,mcg,0.84376097,0.47955000400543213,-18.720654,207000
gasp,True,val_2019_2021,lin,0.78647304,0.5606159567832947,-16.365921,207000
labi,False,test_2022_2024,gru,0.9226944,0.3040962517261505,5.1950307,50964
labi,False,test_2022_2024,mlp,0.9218044,0.30584171414375305,5.224094,50964
labi,False,test_2022_2024,mcg,0.8384018,0.4396669864654541,-2.9703593,50964
labi,False,test_2022_2024,lin,0.73847544,0.559321939945221,2.4048295,50964
mont,True,test_2022_2024,gru,0.8674526,0.5101088285446167,-0.19784193,205500
mont,True,test_2022_2024,mlp,0.8635646,0.5175364017486572,0.57691693,205500
mont,True,test_2022_2024,mcg,0.80732876,0.6150150895118713,-9.755414,205500
mont,True,test_2022_2024,lin,0.74359643,0.7094786763191223,-10.457469,205500
mont,True,val_2019_2021,gru,0.8863578,0.49778831005096436,-4.342517,207000
mont,True,val_2019_2021,mlp,0.88248694,0.506195068359375,-4.726825,207000
mont,True,val_2019_2021,mcg,0.81519544,0.6347915530204773,-12.560937,207000
mont,True,val_2019_2021,lin,0.7729274,0.7036507725715637,-13.391173,207000
outm,False,test_2022_2024,gru,0.9001601,0.3547709882259369,6.857855,205500
outm,False,test_2022_2024,mlp,0.9015544,0.35228508710861206,6.623841,205500
outm,False,test_2022_2024,mcg,0.82624495,0.46802037954330444,-2.4471931,205500
