region,station,area_km2,n_j,P,Q,ET_bilan,ET_MOD16,ecart_pct
abit,080707,21525,7076,1008,601,407,437,7.5
abit,080101,3720,8766,1005,507,498,462,-7.1
cnda,070204,813,8049,1226,604,622,493,-20.7
cndb,071401,1640,8529,1406,823,584,457,-21.6
cndc,072301,18864,7197,963,721,242,394,63.1
cndc,073503,7237,8691,927,701,226,395,75.1
cndd,074903,15312,7371,938,800,139,381,174.6
cndd,073801,13110,4754,919,644,275,386,40.4
cnde,075705,18852,7030,1026,805,221,377,70.1
cnde,076601,5469,6790,997,863,134,370,176.3
gasp,011509,2758,8766,1005,611,394,515,30.9
gasp,011707,2725,7414,1035,591,444,520,17.2
labi,089907,257,5058,1051,483,568,454,-20.1
mont,030345,3309,8744,1162,617,545,640,17.5
mont,030905,2513,8745,1005,487,518,646,24.8
outm,043012,2567,8766,954,503,451,484,7.5
outm,041902,1680,8744,993,958,36,529,1375.0
outv,040830,6807,8523,1103,619,483,471,-2.5
outv,040204,5452,8707,1234,636,599,541,-9.7
sagu,061901,15482,8765,964,599,365,433,18.5
sagu,062102,9616,7993,990,698,292,427,45.9
slno,050304,4514,8742,1208,691,517,518,0.2
slno,050144,2649,8502,975,501,474,477,0.8
slso,023402,5806,8689,1110,641,469,555,18.3
slso,023429,3054,8678,1056,630,426,554,30.1
