region,essai,kge,delta
slno,reference,0.565,0.0
slno,k x10,0.5658,0.0008
slno,k x100,0.5658,0.0008
slno,k /10,0.5823,0.0173
slno,beta +0.5,0.5673,0.0022
slno,beta -0.4,0.5658,0.0008
slno,k ~ A^-0.5,0.5651,0.0001
slno,k ~ A^-1.0,0.5652,0.0001
slno,k ~ A^-1.5,0.5653,0.0002
outv,reference,0.4992,0.0
outv,k x10,0.4914,-0.0078
outv,k x100,0.4914,-0.0078
outv,k /10,0.481,-0.0182
outv,beta +0.5,0.4976,-0.0016
outv,beta -0.4,0.4914,-0.0078
outv,k ~ A^-0.5,0.5169,0.0177
outv,k ~ A^-1.0,0.5256,0.0265
outv,k ~ A^-1.5,0.5249,0.0257
sagu,reference,0.7142,0.0
sagu,k x10,0.716,0.0018
sagu,k x100,0.716,0.0018
sagu,k /10,0.6955,-0.0187
sagu,beta +0.5,0.7001,-0.0141
sagu,beta -0.4,0.716,0.0018
sagu,k ~ A^-0.5,0.7128,-0.0014
sagu,k ~ A^-1.0,0.7062,-0.008
sagu,k ~ A^-1.5,0.7027,-0.0115
