region,n,meandre_v4,best_member,best_name,ens_median
LABI,1,0.7908221398923571,0.7386038619658722,MG24HS,0.6466491610151739
CNDC,2,0.45402040222235746,0.6804153787716942,MG24HA,0.665822663680545
CNDE,2,0.3300520858690509,0.6762300235880337,MG24HK,0.5969982509845977
CNDB,2,0.7722643601959231,0.5702989827790725,MG24HQ,0.5470482975808099
CNDD,1,0.6421880626945085,0.7163943355248701,MG24HQ,0.6892807674791819
ABIT,3,0.5458920695638645,0.7099524507826007,MG24HS,0.6109443557966878
SAGU,20,0.5235338998567814,0.8133111446335048,MG24HA,0.7674038041015816
OUTM,3,0.49284137618494717,0.8395954329963431,MG24HS,0.7712083400245895
SLNO,27,0.5891124008363678,0.8194972165213948,MG24HQ,0.7876407404054246
OUTV,16,0.5427035028481824,0.8298685917133035,MG24HK,0.7968174114427957
GASP,16,0.4891129398179208,0.7908339420001328,MG24HI,0.767822010092355
