region,station,lon,lat,aire_km2,k_recession,coeff_ecoul,ratio_et,mois_pic,cv_debit
gasp,20602,-64.91039276123047,49.06403732299805,646,0.0651,0.686,0.692,5,1.83
gasp,11003,-66.41712188720703,48.756229400634766,1707,0.046,0.77,0.491,5,1.39
gasp,21702,-67.69434356689453,48.66965103149414,212,0.0805,0.67,0.597,5,1.75
gasp,11707,-68.66305541992188,47.79977798461914,2725,0.0138,0.564,0.874,5,1.18
gasp,21407,-66.16898345947266,48.97022247314453,784,0.0495,0.799,0.464,5,1.4
gasp,22003,-68.49797058105469,48.18865966796875,1636,0.0778,0.575,0.814,5,1.52
gasp,22301,-69.07018280029297,47.9390869140625,925,0.087,0.588,0.749,4,1.77
gasp,10802,-65.48526000976562,48.52382278442383,1917,0.0294,0.661,0.771,5,1.48
gasp,21601,-67.20447540283203,48.69121551513672,1660,0.0596,0.647,0.735,5,1.49
gasp,22513,-69.58214569091797,47.516109466552734,1061,0.0421,0.501,0.975,4,1.39
gasp,22507,-69.63450622558594,47.437862396240234,543,0.0943,0.522,0.928,4,1.6
gasp,11204,-66.53948974609375,48.34092712402344,1155,0.0374,0.635,0.85,5,1.47
gasp,11509,-67.373291015625,48.40410614013672,2758,0.0547,0.603,0.78,5,1.2
gasp,10902,-65.7833251953125,48.5213623046875,1380,0.0305,0.654,0.781,5,1.35
gasp,20404,-65.22998809814453,48.89325714111328,675,0.038,0.642,0.724,5,1.57
gasp,21916,-68.36034393310547,48.35908126831055,106,0.0802,0.545,0.791,5,1.57
sagu,61024,-71.20625305175781,48.054500579833984,334,0.0665,0.624,0.954,5,1.21
sagu,61901,-73.5414047241211,49.63972473144531,15482,0.0322,0.598,0.923,5,0.97
sagu,60704,-70.96361541748047,47.90420150756836,441,0.0545,0.593,0.927,5,1.31
sagu,60102,-70.1954345703125,47.9965705871582,432,0.0443,0.626,0.852,5,1.44
sagu,60901,-71.10060119628906,48.12677001953125,394,0.0739,0.424,1.306,5,1.24
sagu,61905,-73.63607025146484,49.78630447387695,11330,0.0309,0.626,0.896,5,0.89
sagu,62002,-72.53518676757812,48.81996536254883,57,0.0583,0.206,1.781,4,1.43
sagu,62102,-72.73002624511719,49.945587158203125,9616,0.0403,0.676,0.776,5,1.07
sagu,61801,-71.86566925048828,49.15190887451172,974,0.0501,0.569,1.04,5,1.14
sagu,61307,-71.73619079589844,48.266746520996094,280,0.0404,0.565,0.978,5,1.27
sagu,61909,-72.75635528564453,48.65484619140625,586,0.0618,0.528,0.955,5,1.43
sagu,62114,-71.94874572753906,50.338287353515625,8845,0.0356,0.686,0.793,5,1.0
sagu,62701,-70.89567565917969,48.66360092163086,773,0.0646,0.615,1.262,5,1.1
sagu,61502,-71.90865325927734,47.89480209350586,2231,0.0438,0.547,1.143,5,1.03
sagu,61028,-71.47779083251953,47.91840362548828,2650,0.0491,0.562,1.201,5,1.1
sagu,61020,-71.60968017578125,47.845314025878906,1156,0.0593,0.534,1.357,5,1.07
sagu,62803,-70.16871643066406,48.572021484375,1110,0.0458,0.696,0.785,5,1.34
sagu,61022,-71.23030090332031,47.795284271240234,521,0.0567,0.584,1.156,5,1.16
sagu,64101,-72.455810546875,48.47452926635742,194,0.0511,0.481,1.126,5,1.32
mont,30421,-73.46763610839844,45.157318115234375,365,0.1791,0.487,0.806,4,2.01
mont,30423,-73.0069580078125,45.21920394897461,111,0.1205,0.413,0.974,4,1.8
mont,30345,-72.58989715576172,45.37775421142578,3309,0.131,0.576,0.706,4,1.4
mont,30424,-72.89421081542969,45.09036636352539,613,0.1383,0.498,0.816,4,1.43
mont,30348,-72.60874938964844,45.517433166503906,104,0.2598,0.518,0.758,4,2.11
mont,30415,-73.1332015991211,45.49077224731445,341,0.1506,0.498,0.801,4,1.94
mont,30425,-73.00981903076172,44.97727584838867,82,0.1993,0.398,0.924,4,1.85
mont,30314,-72.5976333618164,45.172245025634766,211,0.1183,0.631,0.661,4,1.6
mont,30905,-73.92223358154297,45.00350570678711,2513,0.0711,0.525,0.678,4,1.44
mont,30340,-72.59105682373047,45.38957595825195,244,0.0619,0.618,0.656,4,1.18
mont,30353,-72.48294067382812,45.27584457397461,233,0.0667,0.621,0.647,4,0.99
mont,30420,-72.86798858642578,45.07197952270508,388,0.1604,0.528,0.763,4,1.41
mont,30907,-73.73075103759766,45.044246673583984,630,0.121,0.492,0.68,4,1.7
mont,30921,-73.73267364501953,44.99176788330078,248,0.1408,0.557,0.547,4,1.53
mont,30304,-72.51831817626953,45.517120361328125,1478,0.1381,0.56,0.725,4,1.6
mont,30316,-72.73353576660156,45.89289093017578,327,0.1547,0.566,0.65,4,1.95
mont,30919,-74.08747100830078,44.8470458984375,1052,0.0503,0.576,0.605,4,1.1
labi,89907,-78.71320343017578,48.65676498413086,257,0.1036,0.396,1.63,5,1.43
abit,80106,-77.68470764160156,48.02275848388672,372,0.0543,0.542,1.02,5,1.2
abit,80707,-76.61738586425781,48.66576385498047,21525,0.0248,0.585,0.97,5,0.85
abit,80101,-77.93405151367188,48.24370193481445,3720,0.0291,0.494,1.116,5,0.74
cnda,70204,-69.79486846923828,48.54277038574219,813,0.0527,0.432,1.604,5,1.3
cndb,71801,-67.19610595703125,49.93244934082031,210,0.0673,0.558,1.538,5,1.74
cndb,71401,-67.72686767578125,49.600528717041016,1640,0.0412,0.541,1.515,5,1.22
cndc,72301,-66.39085388183594,51.596031188964844,18864,0.0269,0.68,0.855,5,0.93
cndc,73503,-65.08100128173828,51.469085693359375,7237,0.0211,0.684,0.816,5,1.01
cndd,73801,-63.546470642089844,51.73208236694336,13110,0.0258,0.655,0.884,5,1.01
cndd,74903,-62.098915100097656,51.699005126953125,15312,0.0308,0.791,0.555,5,0.95
cnde,75705,-60.682552337646484,51.88694763183594,18852,0.0264,0.732,0.783,5,1.02
cnde,76601,-58.1957893371582,52.28996276855469,5469,0.0532,0.81,0.55,5,1.31
outm,43030,-76.14739227294922,47.988555908203125,1096,0.0337,0.793,0.463,5,0.87
outm,41902,-77.783935546875,46.6047248840332,1680,0.0226,0.978,0.04,5,0.83
outm,43012,-78.61773681640625,48.40132522583008,2567,0.0324,0.536,0.896,5,1.13
outv,40406,-75.12824249267578,46.13038635253906,1348,0.0275,0.521,0.882,4,0.9
outv,40204,-74.6504898071289,46.355323791503906,5452,0.0453,0.534,1.018,4,0.95
outv,46709,-74.03260040283203,45.59333038330078,205,0.0973,0.453,1.091,4,1.92
outv,40840,-76.31697845458984,46.02021789550781,1263,0.0372,0.465,0.963,4,1.01
outv,40238,-74.48320770263672,46.36176300048828,1179,0.0589,0.562,1.023,4,1.04
outv,40110,-74.22454833984375,46.01470184326172,1176,0.0742,0.563,0.963,4,1.19
outv,40122,-74.30353546142578,46.094757080078125,312,0.0702,0.589,0.922,4,1.15
