region,station,lon,lat,aire_km2,cm_freshet,duree_montee_j,ratio_pic_base
gasp,20602,-64.91039276123047,49.06403732299805,646,132.8,3.0,67.1
gasp,11003,-66.41712188720703,48.756229400634766,1707,136.1,3.0,33.1
gasp,21702,-67.69434356689453,48.66965103149414,212,123.6,3.0,43.1
gasp,11707,-68.66305541992188,47.79977798461914,2725,128.4,10.0,7.4
gasp,21407,-66.16898345947266,48.97022247314453,784,136.3,3.0,40.3
gasp,22003,-68.49797058105469,48.18865966796875,1636,126.3,6.0,31.3
gasp,22301,-69.07018280029297,47.9390869140625,925,122.6,3.0,51.2
gasp,10802,-65.48526000976562,48.52382278442383,1917,132.1,3.0,34.7
gasp,21601,-67.20447540283203,48.69121551513672,1660,129.3,2.5,40.6
gasp,22513,-69.58214569091797,47.516109466552734,1061,121.9,4.0,23.0
gasp,22507,-69.63450622558594,47.437862396240234,543,121.8,2.0,42.4
gasp,11204,-66.53948974609375,48.34092712402344,1155,133.2,2.0,38.8
gasp,11509,-67.373291015625,48.40410614013672,2758,134.8,11.0,12.8
gasp,10902,-65.7833251953125,48.5213623046875,1380,134.4,3.0,30.6
gasp,20404,-65.22998809814453,48.89325714111328,675,135.0,4.0,41.1
gasp,21916,-68.36034393310547,48.35908126831055,106,124.4,3.0,35.5
sagu,61024,-71.20625305175781,48.054500579833984,334,134.1,2.5,28.7
sagu,61901,-73.5414047241211,49.63972473144531,15482,132.6,7.5,14.6
sagu,60704,-70.96361541748047,47.90420150756836,441,134.4,2.0,29.0
sagu,60102,-70.1954345703125,47.9965705871582,432,134.0,4.5,32.8
sagu,60901,-71.10060119628906,48.12677001953125,394,131.5,2.0,29.1
sagu,61905,-73.63607025146484,49.78630447387695,11330,133.1,8.0,13.0
sagu,62002,-72.53518676757812,48.81996536254883,57,123.6,2.0,28.0
sagu,62102,-72.73002624511719,49.945587158203125,9616,134.3,7.0,23.7
sagu,61801,-71.86566925048828,49.15190887451172,974,127.5,5.0,22.6
sagu,61307,-71.73619079589844,48.266746520996094,280,126.2,4.0,25.9
sagu,61909,-72.75635528564453,48.65484619140625,586,126.7,4.0,28.8
sagu,62114,-71.94874572753906,50.338287353515625,8845,136.2,9.0,21.2
sagu,62701,-70.89567565917969,48.66360092163086,773,134.7,3.0,26.6
sagu,61502,-71.90865325927734,47.89480209350586,2231,132.2,6.5,16.6
sagu,61028,-71.47779083251953,47.91840362548828,2650,133.7,3.0,20.6
sagu,61020,-71.60968017578125,47.845314025878906,1156,134.4,3.0,20.8
sagu,62803,-70.16871643066406,48.572021484375,1110,134.3,5.0,30.2
sagu,61022,-71.23030090332031,47.795284271240234,521,136.1,4.0,22.5
sagu,64101,-72.455810546875,48.47452926635742,194,128.5,4.0,25.7
mont,30421,-73.46763610839844,45.157318115234375,365,105.3,2.0,54.9
mont,30423,-73.0069580078125,45.21920394897461,111,102.7,1.0,33.8
mont,30345,-72.58989715576172,45.37775421142578,3309,107.4,2.0,21.4
mont,30424,-72.89421081542969,45.09036636352539,613,107.2,1.0,19.4
mont,30348,-72.60874938964844,45.517433166503906,104,104.8,1.0,68.9
mont,30415,-73.1332015991211,45.49077224731445,341,105.2,1.5,56.1
mont,30425,-73.00981903076172,44.97727584838867,82,104.4,1.0,38.9
mont,30314,-72.5976333618164,45.172245025634766,211,109.4,1.0,30.9
mont,30905,-73.92223358154297,45.00350570678711,2513,108.3,2.0,21.1
mont,30340,-72.59105682373047,45.38957595825195,244,108.2,2.0,10.3
mont,30353,-72.48294067382812,45.27584457397461,233,107.6,3.0,6.0
mont,30420,-72.86798858642578,45.07197952270508,388,109.4,1.5,20.6
mont,30907,-73.73075103759766,45.044246673583984,630,104.0,2.0,25.2
mont,30921,-73.73267364501953,44.99176788330078,248,106.0,2.0,16.7
mont,30304,-72.51831817626953,45.517120361328125,1478,107.1,2.0,38.6
mont,30316,-72.73353576660156,45.89289093017578,327,103.7,2.0,63.0
mont,30919,-74.08747100830078,44.8470458984375,1052,110.6,2.0,11.8
labi,89907,-78.71320343017578,48.65676498413086,257,125.8,6.0,45.9
abit,80106,-77.68470764160156,48.02275848388672,372,125.6,5.0,24.2
abit,80707,-76.61738586425781,48.66576385498047,21525,133.5,7.0,10.4
abit,80101,-77.93405151367188,48.24370193481445,3720,133.6,13.0,6.8
cnda,70204,-69.79486846923828,48.54277038574219,813,134.1,8.0,20.3
cndb,71801,-67.19610595703125,49.93244934082031,210,134.4,5.0,74.5
cndb,71401,-67.72686767578125,49.600528717041016,1640,137.0,8.0,22.5
cndc,72301,-66.39085388183594,51.596031188964844,18864,142.7,7.0,20.3
cndc,73503,-65.08100128173828,51.469085693359375,7237,144.9,8.5,16.5
cndd,73801,-63.546470642089844,51.73208236694336,13110,140.2,7.0,18.5
cndd,74903,-62.098915100097656,51.699005126953125,15312,142.4,7.5,19.1
cnde,75705,-60.682552337646484,51.88694763183594,18852,143.9,10.0,21.0
cnde,76601,-58.1957893371582,52.28996276855469,5469,142.4,4.5,38.5
outm,41902,-77.783935546875,46.6047248840332,1680,126.4,9.0,6.9
outm,43012,-78.61773681640625,48.40132522583008,2567,127.1,4.0,20.7
outv,40406,-75.12824249267578,46.13038635253906,1348,123.4,12.0,5.4
outv,40204,-74.6504898071289,46.355323791503906,5452,121.6,6.0,11.4
outv,46709,-74.03260040283203,45.59333038330078,205,109.2,2.0,61.8
