region,spatial_held,period,model,mae_days,acc,n
abit,False,test_2022_2024,dd,20.11241610738255,0.8249530482625876,1192
abit,False,test_2022_2024,eti,34.2005033557047,0.7599712601168362,1192
abit,False,test_2022_2024,mlp,20.53271812080537,0.8392653598893485,1192
cnda,False,test_2022_2024,dd,11.252297410192147,0.8527973595514937,1197
cnda,False,test_2022_2024,eti,41.753550543024225,0.6493761628563167,1197
cnda,False,test_2022_2024,mlp,10.88888888888889,0.8517013483897682,1197
cndb,False,test_2022_2024,dd,12.024267782426778,0.8617170237122953,1195
cndb,False,test_2022_2024,eti,40.12887029288703,0.6555809676023737,1195
cndb,False,test_2022_2024,mlp,13.52468619246862,0.8408239503053692,1195
cndc,False,test_2022_2024,dd,15.322986577181208,0.8198547073582261,1192
cndc,False,test_2022_2024,eti,42.308724832214764,0.665728285270971,1192
cndc,False,test_2022_2024,mlp,14.181208053691275,0.7986409154365327,1192
cndd,False,test_2022_2024,dd,15.4035683942226,0.8178640634931561,1177
cndd,False,test_2022_2024,eti,28.514868309260834,0.7307576611832194,1177
cndd,False,test_2022_2024,mlp,13.979609175870857,0.7907721964345473,1177
cnde,False,test_2022_2024,dd,11.75885328836425,0.8626873880885213,1186
cnde,False,test_2022_2024,eti,19.026138279932546,0.8036350835281353,1186
cnde,False,test_2022_2024,mlp,12.25548060708263,0.797135641963263,1186
gasp,True,test_2022_2024,dd,26.282136894824706,0.7970058439595931,1198
gasp,True,test_2022_2024,eti,26.58347245409015,0.803612395214643,1198
gasp,True,test_2022_2024,mlp,23.207011686143574,0.8676743949933595,1198
gasp,True,val_2019_2021,dd,27.092654424040067,0.7808073033418377,1198
gasp,True,val_2019_2021,eti,24.370617696160267,0.8038502541307858,1198
gasp,True,val_2019_2021,mlp,17.628547579298832,0.8814188321194987,1198
labi,False,test_2022_2024,dd,22.66068376068376,0.8406115414515879,1170
labi,False,test_2022_2024,eti,22.964102564102564,0.8430752439775011,1170
labi,False,test_2022_2024,mlp,22.24871794871795,0.8647411882359268,1170
mont,True,test_2022_2024,dd,8.28,0.9632093842295497,1200
mont,True,test_2022_2024,eti,9.660833333333333,0.9583316562002528,1200
mont,True,test_2022_2024,mlp,7.078333333333333,0.9667077388955811,1200
mont,True,val_2019_2021,dd,8.462885738115096,0.9365373960811468,1199
mont,True,val_2019_2021,eti,9.93327773144287,0.9263668560074203,1199
mont,True,val_2019_2021,mlp,8.454545454545455,0.9376032419196714,1199
outm,False,test_2022_2024,dd,15.382578992314262,0.9037760859618781,1171
outm,False,test_2022_2024,eti,15.596925704526047,0.9035232723769767,1171
outm,False,test_2022_2024,mlp,13.56532877882152,0.9210271761025287,1171
outv,False,test_2022_2024,dd,14.208013640238704,0.9115230895249367,1173
outv,False,test_2022_2024,eti,13.521739130434783,0.912561599007607,1173
outv,False,test_2022_2024,mlp,10.50383631713555,0.9323813700364301,1173
sagu,True,test_2022_2024,dd,14.63765690376569,0.8579409604507198,1195
sagu,True,test_2022_2024,eti,35.19665271966527,0.7230594174034984,1195
sagu,True,test_2022_2024,mlp,15.119665271966527,0.8616992545994147,1195
sagu,True,val_2019_2021,dd,18.904920767306088,0.837888168965235,1199
sagu,True,val_2019_2021,eti,36.61301084236864,0.7046893958920811,1199
sagu,True,val_2019_2021,mlp,15.979983319432861,0.8598751066590453,1199
slno,False,test_2022_2024,dd,17.79649708090075,0.8517896118103606,1199
slno,False,test_2022_2024,eti,22.447039199332778,0.8293100199152141,1199
slno,False,test_2022_2024,mlp,15.740617180984154,0.8803900977683754,1199
slso,False,test_2022_2024,dd,12.177543186180422,0.920832613661363,1042
slso,False,test_2022_2024,eti,15.388675623800383,0.9139559343378519,1042
slso,False,test_2022_2024,mlp,11.86468330134357,0.9368763282803545,1042
vaud,False,test_2022_2024,dd,8.133093525179856,0.9631733970770776,556
vaud,False,test_2022_2024,eti,9.377697841726619,0.9575438038954005,556
vaud,False,test_2022_2024,mlp,10.241007194244604,0.951317754541534,556
