,mean,std
drainage_area_km2,4.2093086,1.9473048
strahler_order,1.7712859,1.0586275
mean_slope_pct,6.6863785,4.996528
mean_elevation_m,351.28256,169.96413
sin_aspect,-0.03544964,0.4587329
cos_aspect,-0.023700904,0.47069138
f_forest,0.70021945,0.2368604
f_agriculture,0.1384184,0.19423527
f_urban,0.016369207,0.06276511
f_wetland,0.07573481,0.12518747
f_water,0.06911549,0.10353643
f_sand,0.7655538,0.19196737
f_silt,0.15723443,0.13230228
f_clay,0.07721182,0.07162598
depth_to_bedrock_m,0.0,0.0
dist_to_outlet_km,4124.5015,3201.901
lake_fraction,0.16933921,0.32298476
