region,kge_med_test,n,ds
gasp,0.7203110101160738,15,0.8094473487677372
sagu,0.7177481501267486,19,0.7633984347534493
mont,0.5594032276699521,23,0.8267100425696594
labi,0.33918665886908184,1,1.1
abit,0.7014665126189827,3,1.004636096169277
cnda,0.47002988478378527,1,1.1
cndb,0.3100012161044434,2,1.1
cndc,0.7097373533394713,2,0.7
cndd,0.8206193409752244,1,0.7
cnde,0.6144376888583728,2,0.7
outm,0.5220819906170211,3,0.7
outv,0.2718628323244595,16,1.06634328973239
slno,0.6301185042401283,27,0.9958900949466987
slso,0.5512902353878193,29,0.8069990568185514
